,movie,P,R,F1
0,tt2582782,[0.46761835],[0.5248654],[0.4934923]
1,tt4777008,[0.45110863],[0.5368974],[0.48828802]
2,tt2239822,[0.5148466],[0.47115856],[0.49141675]
3,tt4786282,[0.46639773],[0.5344776],[0.49685556]
4,tt5783956,[0.50255126],[0.5035208],[0.5001136]
5,tt8579674,[0.51097697],[0.49837217],[0.5026988]
6,tt9243946,[0.51192385],[0.5017947],[0.5058046]
7,tt1712261,[0.5390648],[0.49673617],[0.51516175]
8,tt1298644,[0.48645592],[0.4601793],[0.47095186]
9,tt1560220,[0.54094267],[0.50213104],[0.5197069]
10,tt8350360,[0.43859798],[0.5263865],[0.4762834]
11,tt8201170,[0.44254386],[0.5043444],[0.470557]
12,tt9354842,[0.45457375],[0.53787214],[0.49063566]
13,tt3766354,[0.47207224],[0.51118916],[0.48921633]
14,tt7984766,[0.47326806],[0.5318565],[0.4991093]
15,tt4971344,[0.54537433],[0.47008082],[0.50320065]
16,tt2226597,[0.47599307],[0.4756585],[0.47384164]
17,tt3907584,[0.4412452],[0.51916426],[0.47640198]
18,tt8155288,[0.47065344],[0.5384106],[0.50037545]
19,tt6857112,[0.51293427],[0.54456705],[0.5269195]
20,tt2543164,[0.5323204],[0.5049587],[0.517457]
21,tt1212428,[0.45376146],[0.5145175],[0.48122558]
22,tt3717490,[0.46718925],[0.52776706],[0.4941736]
23,tt6781982,[0.5146752],[0.4624182],[0.48549458]
24,tt3262342,[0.552496],[0.5081367],[0.5290236]
25,tt3861390,[0.5181541],[0.5165565],[0.5160654]
26,tt1860242,[0.4814304],[0.49869472],[0.48758176]
27,tt1950186,[0.46487215],[0.53780836],[0.49664795]
28,tt6146586,[0.4060884],[0.52824354],[0.4564612]
29,tt7043012,[0.4872285],[0.5031956],[0.4936964]
30,tt1025100,[0.5102092],[0.504329],[0.5055021]
31,tt2674426,[0.4935756],[0.54860115],[0.5183751]
32,tt1634106,[0.48190936],[0.5364258],[0.5056182]
33,tt8954732,[0.48250476],[0.4751315],[0.4751584]
34,tt3387520,[0.49845263],[0.4995611],[0.49783394]
35,tt2543472,[0.47310552],[0.5018469],[0.484348]
36,tt1700841,[0.46985167],[0.5241201],[0.4942237]
37,tt1856101,[0.52711797],[0.54282606],[0.53209627]
38,tt8772262,[0.51219124],[0.48735017],[0.49764535]
39,tt4500922,[0.47888425],[0.5128724],[0.49406603]
40,tt2567026,[0.51014066],[0.4585659],[0.48107412]
41,tt0490215,[0.48688745],[0.47472537],[0.48000774]
42,tt1206885,[0.49010193],[0.5358206],[0.50972646]
43,tt2869728,[0.5096592],[0.5317289],[0.51990485]
44,tt5649144,[0.500005],[0.5488529],[0.52194744]
45,tt8079248,[0.4885146],[0.5079856],[0.4967778]
46,tt2283362,[0.49130777],[0.54432166],[0.5140922]
47,tt2386490,[0.51294947],[0.544903],[0.5268801]
48,tt3522806,[0.4431989],[0.51342565],[0.47387496]
49,tt1959563,[0.52949905],[0.4530079],[0.4859746]
50,tt5164432,[0.5228837],[0.44326362],[0.47869682]
51,tt3748528,[0.49774134],[0.55395776],[0.5233607]
52,tt1365519,[0.543548],[0.41791534],[0.4710001]
53,tt3748172,[0.5014631],[0.54712975],[0.52191645]
54,tt4547056,[0.48418233],[0.503486],[0.4925084]
55,tt3606752,[0.5533521],[0.45753244],[0.49936554]
56,tt4560436,[0.50089705],[0.49566337],[0.4950595]
57,tt5001718,[0.5116452],[0.48342496],[0.49560386]
58,tt3882082,[0.52080363],[0.5206432],[0.5196033]
59,tt5776858,[0.49539196],[0.51018435],[0.50178313]
60,tt6499752,[0.5238154],[0.5034397],[0.5121459]
61,tt8228288,[0.4627719],[0.5157595],[0.48619798]
62,tt4123430,[0.48218527],[0.54205126],[0.50699544]
63,tt4139588,[0.50930613],[0.5047773],[0.50557905]
